"","germplasmName","DON","Heading","Height","Lodging","Maturity","TestWeight","Yield","Weight..lb.","notes.x","notes.y"
"206","IL2022-15167",2.08,131.77,39.18,1.71,166.13,57.44,85.87,7.35,"obs:Good","seg"
"207","IL2022-15174",2.14,131.7,38.06,2.19,167.12,59.8,93.12,7.86,"hd:E, obs:Fair",""
"208","IL2022-15179",1.69,131.06,37.42,2.43,166.08,58.74,88.42,6.49,"hd:N, bronze, obs:Normal",NA
"209","IL2022-1521",0.91,129.94,38.91,1.82,165.09,58.76,87.53,7.68,"obs:Poor",""
"210","IL2022-15227",1.55,130.98,38.24,2.71,167.4,60.89,78.04,6.87,"hd:E, obs:Normal",NA
"211","IL2022-15320",1.44,129.88,36.5,2.68,165.01,58.6,87.88,7.67,"hd:E, obs:Normal",NA
"212","IL2022-15360",2.01,129.99,34.29,2.07,164.85,57.54,84.2,7.5,"obs:Fair",NA
"213","IL2022-1541",1.32,132.63,37.44,1.29,169.43,59.02,93.06,7.94,"obs:Poor",NA
"214","IL2022-15419",1.44,128.84,37.76,2.25,163.89,58.49,83.14,6.61,"hd:E, obs:Normal",""
"215","IL2022-15423",2.15,131.02,36.96,1.01,169.05,60.34,78.01,6.91,"obs:Fair",NA
"216","IL2022-15425",1.87,133.15,36.42,2.16,167.29,58.31,78.86,7.17,"hd:L, obs:Good",NA
"217","IL2022-15471",2.01,129.42,37.33,1.19,166.65,58.4,77.15,7.07,"obs:Fair",NA
"218","IL2022-15515",1.98,132.02,36.92,3.32,166.81,61.66,80.71,6.88,"hd:E, obs:Normal",NA
"219","IL2022-15520",1.93,132.11,36.46,1.91,169.21,57.01,79.07,7.56,"obs:Good",""
"220","IL2022-15524",1.27,132.15,37.19,1.51,167.47,54.65,94.57,7.9,"hd:N, obs:Normal",NA
"221","IL2022-15526",1.14,133.36,38.02,1.23,166.36,58.04,85.32,5.31,"obs:Fair",""
"222","IL2022-15539",1.91,130.7,36.06,1.56,166.09,56.11,77.75,4.57,"obs:Normal",""
"223","IL2022-15550",1.88,132.47,37.45,3.01,168.55,58.48,87.26,6.43,"obs:Poor",""
"224","IL2022-15564",1.58,133.21,40.45,3.57,165.11,57.43,90.57,7.01,"hd:E, obs:Fair",""
"225","IL2022-15578",1.66,129.05,35.25,2.75,167.82,57.14,66.29,8.29,"hd:E, obs:Normal",NA
"226","IL2022-15602",1.44,130.01,38.05,1.64,165.53,58.97,89.41,8.02,"hd:E, obs:Poor",""
"227","IL2022-15615",1.45,132.68,35.17,1.97,167.28,57.38,95.3,7.5,"hd:N, obs:Normal",NA
"228","IL2022-15620",1.34,130.49,37.98,1.49,166,57.56,81.37,5.35,"hd:E, obs:Poor",NA
"229","IL2022-15630",1.56,131.24,37.74,1.54,165.92,56.36,95.6,7.91,"hd:E, obs:Good",""
"230","IL2022-15672",0.93,129.97,37.47,1.69,166.01,56.42,92.76,8.75,"hd:N, obs:Normal",""
"231","IL2022-1570",0.77,129.74,38.35,2.26,165.86,58.67,88.46,8.66,"hd:N, obs:Normal",NA
"232","IL2022-15703",1.45,130.41,37.51,1.03,166.74,59.14,87.31,6.9,"obs:Normal",""
"233","IL2022-15708",2.14,133.19,34.03,1.3,168.54,57.09,86.85,7.47,"hd:N, obs:Good",NA
"234","IL2022-15711",0.9,131.61,36.3,0.81,169.77,58.53,82.4,6.93,"obs:Normal","late"
"235","IL2022-15713",1.5,132.85,37.69,1.01,167.84,58.76,85.09,6.87,"obs:Normal",""
"236","IL2022-15717",1.69,131.6,37.25,0.71,168.22,58.44,89.98,6.89,"obs:Good",NA
"237","IL2022-15733",1.47,134.05,35.01,0.87,167.44,58.16,87.15,7.19,"obs:Good",""
"238","IL2022-15743",1.58,132.52,34.44,0.69,168.23,58.44,80.18,7.39,"obs:Normal",NA
"239","IL2022-15751",0.91,131.81,33.71,0.76,169.25,58.84,83.95,6.54,"obs:Good",NA
"240","IL2022-15760",1.55,134.07,36.66,1.41,169.45,59.34,86.2,7.78,"obs:Normal",NA
