germplasmName,observationUnitName,notes
IL2022F4S-18202,SI_Urb_23-1293,"hd:N, obs:Normal"
IL2022F4S-5302,SI_Urb_23-1294,"hd:N, obs:Fair"
IL2022F4S-10004,SI_Urb_23-1295,"hd:N, obs:Normal"
IL2022F4S-13001,SI_Urb_23-1296,"hd:N, obs:Normal"
IL2022F4S-20404,SI_Urb_23-1297,"hd:N, obs:Good"
IL2022F4S-13106,SI_Urb_23-1298,"hd:E, obs:Normal"
IL2022F4S-14805,SI_Urb_23-1299,"hd:N, obs:Fair"
IL2022-12417,SI_Urb_23-13,"hd:E, obs:Normal"
IL2022F4S-9403,SI_Urb_23-130,obs:Fair
IL2022F4S-5106,SI_Urb_23-1300,"hd:E, obs:Fair"
IL2022F4S-4604,SI_Urb_23-1301,"hd:E, obs:Fair"
IL2022F4S-804,SI_Urb_23-1302,"hd:L, obs:Poor"
IL2022F4S-15803,SI_Urb_23-1303,"hd:N, late, obs:Normal"
IL2022F4S-11806,SI_Urb_23-1304,"hd:N, obs:Good"
IL2022F4S-15802,SI_Urb_23-1305,"hd:N, obs:Normal"
IL2022F4S-19703,SI_Urb_23-1306,"hd:N, obs:Good"
IL2022F4S-3801,SI_Urb_23-1307,"hd:E, obs:Fair"
IL2022F4S-14203,SI_Urb_23-1308,"hd:L, obs:Normal"
IL2022F4S-6201,SI_Urb_23-1309,"hd:E, obs:Fair"
IL2022F4S-12503,SI_Urb_23-131,"hd:L, obs:Poor"
IL2022F4S-3901,SI_Urb_23-1310,"hd:E, obs:Fair"
IL2022F4S-20201,SI_Urb_23-1311,"hd:E, obs:Fair"
IL2022F4S-9607,SI_Urb_23-1312,"hd:E, obs:Normal"
IL2022F4S-8703,SI_Urb_23-1313,"hd:N, obs:Normal"
IL2022F4S-10304,SI_Urb_23-1314,"hd:N, obs:Normal"
IL2022F4S-3302,SI_Urb_23-1315,"hd:N, obs:Poor"
IL2022F4S-3703,SI_Urb_23-1316,"hd:N, obs:Poor"
IL2022F4S-21104,SI_Urb_23-1317,"hd:N, obs:Poor"
