,germplasmName,Weight..lb.,observationUnitName,notes,Decision,purdy pedigree
991,IL2022F4S-11507,4.12,SI_Urb_23-449,obs:Fair,1,US16-IL-065-030/16-28802
992,IL2022F4S-11508,4.83,SI_Urb_23-1001,"hd:N, obs:Fair",1,US16-IL-065-030/16-28802
993,IL2022F4S-11602,6.23,SI_Urb_23-1480,"hd:E, obs:Normal",1,US16-IL-065-030/17-23868
994,IL2022F4S-11603,5.68,SI_Urb_23-704,"hd:E, obs:Normal",1,US16-IL-065-030/17-23868
995,IL2022F4S-11701,4.73,SI_Urb_23-1108,"hd:N, obs:Normal",1,US16-IL-065-030/17-23904
997,IL2022F4S-11703,6.79,SI_Urb_23-1474,"hd:N, obs:Good",1,US16-IL-065-030/17-23904
998,IL2022F4S-11704,6.05,SI_Urb_23-1393,"hd:N, obs:Fair",1,US16-IL-065-030/17-23904
999,IL2022F4S-11706,4.48,SI_Urb_23-1504,"hd:E, obs:Fair",1,US16-IL-065-030/17-23904
1000,IL2022F4S-11707,6.67,SI_Urb_23-1487,"hd:N, obs:Normal",1,US16-IL-065-030/17-23904
1001,IL2022F4S-11801,5.35,SI_Urb_23-521,"hd:L, obs:Good",1,US16-IL-065-109/15-4957
1002,IL2022F4S-11802,6.46,SI_Urb_23-1497,"hd:N, obs:Normal",1,US16-IL-065-109/15-4957
1003,IL2022F4S-11803,6.17,SI_Urb_23-716,"hd:E, obs:Normal",1,US16-IL-065-109/15-4957
1004,IL2022F4S-11804,5.24,SI_Urb_23-339,obs:Fair,1,US16-IL-065-109/15-4957
1005,IL2022F4S-11805,5.25,SI_Urb_23-1014,"hd:N, obs:Normal",1,US16-IL-065-109/15-4957
1006,IL2022F4S-11806,5.88,SI_Urb_23-1304,"hd:N, obs:Good",1,US16-IL-065-109/15-4957
1007,IL2022F4S-11807,5.57,SI_Urb_23-1392,"hd:N, obs:Normal",1,US16-IL-065-109/15-4957
1008,IL2022F4S-11901,4.56,SI_Urb_23-49,"hd:L, obs:Good",1,US16-IL-065-111/17-9839
1009,IL2022F4S-11902,5.57,SI_Urb_23-903,"hd:N, obs:Fair",1,US16-IL-065-111/17-9839
1010,IL2022F4S-11903,4.07,SI_Urb_23-717,"hd:E, obs:Good",1,US16-IL-065-111/17-9839
1011,IL2022F4S-11904,6.38,SI_Urb_23-538,obs:Good,1,US16-IL-065-111/17-9839
1012,IL2022F4S-12001,4.37,SI_Urb_23-152,obs:Excellent ,1,US16-IL-065-125/17-23868
1013,IL2022F4S-12101,4.4,SI_Urb_23-517,obs:Normal,1,US16-IL-065-125/17-23904
1014,IL2022F4S-12102,5.18,SI_Urb_23-1412,"hd:L, obs:Normal",1,US16-IL-065-125/17-23904
1015,IL2022F4S-12103,4.67,SI_Urb_23-707,"hd:E, obs:Normal",1,US16-IL-065-125/17-23904
1017,IL2022F4S-12202,5.1,SI_Urb_23-803,"hd:N, obs:Good",1,14-28307/LES15-1066//12-26004
1018,IL2022F4S-12203,5.28,SI_Urb_23-829,"hd:N, obs:Normal",1,14-28307/LES15-1066//12-26004
1019,IL2022F4S-12204,4.54,SI_Urb_23-225,obs:Normal,1,14-28307/LES15-1066//12-26004
1020,IL2022F4S-12205,5.35,SI_Urb_23-68,obs:Good,1,14-28307/LES15-1066//12-26004
1021,IL2022F4S-12206,4.3,SI_Urb_23-448,obs:Good,1,14-28307/LES15-1066//12-26004
